geneID	expression	category	ASW1	ASW2	ASW3	ASW4	ASW5	ASW6	LPS1	LPS2	LPS3	LPS4	LPS5	LPS6
TRINITY_DN20562_c0_g2	consistent	no_annotation	-1.415809242	4.304277654	-1.415809242	4.391339566	3.649375289	-1.337199407	-1.415809242	-1.322249066	-1.24588424	-1.360613588	-1.415809242	-1.415809242
TRINITY_DN20670_c0_g1	consistent	DNA_regulation/transcription	0.118550709	3.795282507	-1.236465556	3.826994243	-1.236465556	2.150896985	-1.236465556	-1.236465556	-1.236465556	-1.236465556	-1.236465556	-1.236465556
TRINITY_DN2074_c0_g1	consistent	DNA_regulation/transcription	-0.283793512	-0.462338393	-0.532919073	-0.467449807	-0.498504532	-0.607131177	-0.44585027	-0.266985225	1.357174398	-0.316855533	1.18054802	1.344105104
TRINITY_DN21285_c0_g1	variable	no_annotation	4.891728219	-1.188204504	-1.161050453	-1.188204504	5.218043027	-1.033750912	0.138907966	-1.019562469	-1.188204504	-1.093292857	-1.188204504	-1.188204504
TRINITY_DN21466_c0_g2	consistent	no_annotation	-0.309519049	-0.309519049	-0.309519049	-0.309519049	1.168676209	1.926514283	-0.309519049	-0.309519049	-0.309519049	-0.309519049	-0.309519049	-0.309519049
TRINITY_DN2161_c1_g1	consistent	no_annotation	-0.799167124	1.67853441	0.107543685	1.733627551	0.774968346	1.493064188	-0.896777921	-0.896777921	-0.896777921	-0.573696131	-0.827763243	-0.896777921
TRINITY_DN2168_c4_g1	consistent	no_annotation	-0.00825567	1.418128139	-0.236290639	1.467190116	0.143235375	-0.011330688	-0.258040223	-0.502927282	-0.502927282	-0.502927282	-0.502927282	-0.502927282
TRINITY_DN217106_c1_g1	consistent	Signaling_cascades	-0.272489049	0.958943359	-0.272489049	1.765947132	-0.272489049	-0.272489049	-0.272489049	-0.272489049	-0.272489049	-0.272489049	-0.272489049	-0.272489049
TRINITY_DN21827_c0_g1	consistent	Unknown	1.855488945	0.820982597	0.087158364	1.058275383	0.98166349	0.087917344	-0.883533341	-0.24136434	-1.125398322	-0.200634088	-1.103283161	-1.337272871
TRINITY_DN219_c0_g2	variable	no_annotation	-0.68576079	3.351884994	-0.68576079	3.505722902	-0.68576079	-0.68576079	-0.68576079	-0.68576079	-0.68576079	-0.68576079	-0.68576079	-0.68576079
TRINITY_DN21932_c0_g1	consistent	no_annotation	-1.756664205	-2.160080393	-0.318989651	-1.613376056	-2.131430188	-0.368281245	3.878804017	-0.910196093	1.57386437	-0.432237936	2.552739245	1.685848134
TRINITY_DN22019_c2_g1	variable	no_annotation	-0.898962453	4.391277621	-0.898962453	4.318578487	-0.898962453	-0.619194031	-0.898962453	-0.898962453	-0.898962453	-0.898962453	-0.898962453	-0.898962453
TRINITY_DN220296_c0_g1	consistent	Signaling_cascades	2.168063964	1.160440489	-0.860328376	1.519292586	2.002023824	-0.827522231	-0.860328376	-0.860328376	-0.860328376	-0.860328376	-0.860328376	-0.860328376
TRINITY_DN22878_c0_g1	variable	no_annotation	-0.837631033	4.143079796	-0.837631033	4.233230529	-0.837631033	-0.837631033	-0.837631033	-0.837631033	-0.837631033	-0.837631033	-0.837631033	-0.837631033
TRINITY_DN22927_c0_g1	consistent	Signaling_cascades	-0.363311456	1.538569108	-0.363311456	2.094545454	-0.363311456	-0.363311456	-0.363311456	-0.363311456	-0.363311456	-0.363311456	-0.363311456	-0.363311456
TRINITY_DN23036_c0_g1	consistent	no_annotation	1.881991416	1.595491458	-0.531991183	1.525856523	0.565681798	1.125422465	-1.227419531	-0.360350934	-1.841438065	-0.118499153	-0.991021845	-1.62372295
TRINITY_DN23192_c0_g1	variable	no_annotation	-1.640520085	-1.40051112	-0.664523127	-0.458463476	-1.640520085	-0.621885911	-1.640520085	-1.640520085	6.18573602	-0.846416186	-1.640520085	6.008664225
TRINITY_DN2327_c2_g1	variable	Unknown	-1.152237758	5.940614503	-1.152237758	5.441638851	-1.152237758	-1.012113534	-1.152237758	-1.152237758	-1.152237758	-1.152237758	-1.152237758	-1.152237758
TRINITY_DN23515_c0_g3	consistent	Unknown	3.021584989	2.133477869	-1.393091792	2.537929327	3.403505962	-1.344855606	-1.393091792	-1.393091792	-1.393091792	-1.393091792	-1.393091792	-1.393091792
TRINITY_DN23797_c0_g1	consistent	Recognition/cell_adhesion/protein_binding	3.434936728	-0.654646165	-0.654646165	-0.654646165	3.111524924	-0.654646165	-0.654646165	-0.654646165	-0.654646165	-0.654646165	-0.654646165	-0.654646165
TRINITY_DN23856_c0_g1	variable	Unknown	-0.61436842	2.739801606	-0.61436842	3.308970951	-0.61436842	-0.519456773	-0.61436842	-0.61436842	-0.61436842	-0.61436842	-0.61436842	-0.61436842
TRINITY_DN23884_c0_g2	consistent	Signaling_cascades	-0.255152854	1.296732249	-0.255152854	1.254796292	-0.255152854	-0.255152854	-0.255152854	-0.255152854	-0.255152854	-0.255152854	-0.255152854	-0.255152854
TRINITY_DN23911_c0_g3	variable	Recognition/cell_adhesion/protein_binding	-0.878708919	-0.878708919	-0.878708919	-0.878708919	-0.878708919	-0.878708919	-0.878708919	-0.878708919	4.292497909	-0.878708919	-0.878708919	4.494591278
TRINITY_DN23958_c0_g1	consistent	no_annotation	0.731178736	1.723370773	-0.786026169	1.550685143	0.12338379	1.098721735	-0.880937816	-0.65319674	-0.880937816	-0.74737429	-0.496888009	-0.781979336
TRINITY_DN23986_c0_g1	consistent	no_annotation	-0.212725673	-0.212725673	-0.212725673	-0.212725673	-0.212725673	-0.212725673	-0.212725673	-0.212725673	1.109779385	-0.212725673	-0.212725673	1.017477341
TRINITY_DN241170_c0_g1	consistent	no_annotation	1.979720422	-0.394066971	-0.394066971	-0.394066971	1.960949293	-0.394066971	-0.394066971	-0.394066971	-0.394066971	-0.394066971	-0.394066971	-0.394066971
TRINITY_DN2420_c0_g1	variable	no_annotation	-0.902753007	-0.902753007	-0.902753007	-0.902753007	5.37692257	3.650607497	-0.902753007	-0.902753007	-0.902753007	-0.902753007	-0.902753007	-0.902753007
TRINITY_DN24291_c0_g1	consistent	no_annotation	0.950359546	2.099108533	-1.426208679	1.723375874	1.375777685	2.286827216	-0.752652255	-1.426208679	-0.98898094	-1.426208679	-1.426208679	-0.98898094
TRINITY_DN24785_c0_g1	variable	Recognition/cell_adhesion/protein_binding	-0.984305164	-0.984305164	-0.984305164	-0.984305164	-0.984305164	-0.984305164	4.796424873	-0.984305164	-0.984305164	-0.984305164	5.046626764	-0.984305164
TRINITY_DN25021_c0_g1	consistent	no_annotation	0.330123438	2.39202551	-0.640358713	2.208276696	4.648833538	1.916877399	-2.231080483	-1.847030676	-2.231080483	-0.084425261	-2.231080483	-2.231080483
TRINITY_DN253_c0_g2	variable	no_annotation	-0.603963373	-0.603963373	-0.603963373	-0.603963373	2.772049115	3.267584611	-0.603963373	-0.603963373	-0.603963373	-0.603963373	-0.603963373	-0.603963373
TRINITY_DN25416_c0_g2	variable	no_annotation	-0.958503458	-0.958503458	-0.958503458	-0.958503458	-0.958503458	-0.958503458	-0.958503458	-0.958503458	4.736543833	-0.958503458	-0.958503458	4.848490745
TRINITY_DN255_c0_g1	consistent	Recognition/cell_adhesion/protein_binding	-1.212404429	0.103161801	-0.20090879	-0.825041888	-1.14064176	-1.179598284	-1.212404429	-0.139269725	2.358665569	-0.544285305	1.605218828	2.387508413
TRINITY_DN25932_c0_g2	consistent	Signaling_cascades	-0.222953539	-0.233814531	-0.404648317	-0.385683039	-0.414225275	-0.37629308	1.819107066	-0.485987944	-0.328944234	-0.303295647	1.750963814	-0.414225275
TRINITY_DN2631_c0_g1	consistent	Extracellular_matrix	-0.946890584	-2.504502597	-0.213973762	-2.969751542	-0.515185678	-1.461604638	0.524059441	-0.027063281	2.25029531	-0.153265608	3.75972444	2.258158499
TRINITY_DN26838_c0_g2	consistent	DNA_regulation/transcription	-0.242448788	1.217507352	-0.242448788	1.206980526	-0.242448788	-0.242448788	-0.242448788	-0.242448788	-0.242448788	-0.242448788	-0.242448788	-0.242448788
TRINITY_DN2693_c3_g1	consistent	no_annotation	-0.903488586	-1.070718154	-0.104923664	-1.110813559	-0.519743481	-0.121344227	1.610061842	0.019518309	0.691285637	-0.118704345	0.742637777	0.886232451
TRINITY_DN2759_c0_g2	consistent	Recognition/cell_adhesion/protein_binding	-0.755659735	1.895564208	-0.755659735	2.164442972	-0.755659735	2.740930439	-0.755659735	-0.755659735	-0.755659735	-0.755659735	-0.755659735	-0.755659735
TRINITY_DN27701_c0_g1	consistent	DNA_regulation/transcription	-0.61776869	-0.43096987	-0.551426196	-0.268936412	-0.574575173	-0.448472451	0.505520974	-0.540659765	1.570582583	-0.438444991	0.446546123	1.348603868
TRINITY_DN27754_c0_g2	consistent	no_annotation	-0.261824046	-0.261824046	-0.261824046	-0.261824046	1.43327894	1.184961516	-0.261824046	-0.261824046	-0.261824046	-0.261824046	-0.261824046	-0.261824046
TRINITY_DN27771_c0_g2	variable	no_annotation	-1.041203024	-1.041203024	-1.041203024	-1.041203024	-1.041203024	-1.041203024	-1.041203024	-1.041203024	5.396107956	-1.041203024	-1.041203024	5.015922281
TRINITY_DN27845_c0_g1	variable	Recognition/cell_adhesion/protein_binding	3.274530401	-0.460316045	-0.915995529	-0.447620972	0.027970436	4.130781242	-0.94374052	-0.718985259	-1.123888381	-1.123888381	-0.574958611	-1.123888381
TRINITY_DN27917_c0_g2	variable	no_annotation	-0.906187354	-0.906187354	-0.906187354	-0.906187354	4.367850617	4.694022921	-0.906187354	-0.906187354	-0.906187354	-0.906187354	-0.906187354	-0.906187354
TRINITY_DN280422_c0_g1	variable	no_annotation	-1.252762158	6.60075326	-1.252762158	5.926868316	-1.252762158	-1.252762158	-1.252762158	-1.252762158	-1.252762158	-1.252762158	-1.252762158	-1.252762158
TRINITY_DN284_c1_g2	variable	no_annotation	-1.184337095	5.910542891	-1.184337095	5.932828059	-1.184337095	-1.184337095	-1.184337095	-1.184337095	-1.184337095	-1.184337095	-1.184337095	-1.184337095
TRINITY_DN28743_c0_g1	variable	Signaling_cascades	-0.751351835	-0.751351835	-0.751351835	-0.751351835	-0.751351835	-0.751351835	-0.751351835	-0.751351835	3.613990763	-0.751351835	-0.751351835	3.899527584
TRINITY_DN28775_c0_g1	variable	no_annotation	-0.992146628	-0.992146628	-0.992146628	-0.992146628	-0.992146628	-0.992146628	4.2340536	-0.992146628	2.309733624	-0.992146628	-0.992146628	2.385532431
TRINITY_DN28845_c0_g1	variable	no_annotation	-0.783979153	-0.783979153	-0.783979153	-0.783979153	-0.783979153	-0.783979153	-0.783979153	-0.783979153	4.010592672	-0.783979153	-0.783979153	3.829198855
TRINITY_DN2917_c1_g1	variable	no_annotation	-0.606313823	-0.606313823	-0.606313823	-0.606313823	3.434490957	2.628647272	-0.606313823	-0.606313823	-0.606313823	-0.606313823	-0.606313823	-0.606313823
TRINITY_DN294_c0_g1	variable	no_annotation	-0.803308769	4.13445933	-0.803308769	3.898628356	-0.803308769	-0.803308769	-0.803308769	-0.803308769	-0.803308769	-0.803308769	-0.803308769	-0.803308769
TRINITY_DN296_c2_g1	variable	no_annotation	-0.902410902	4.490867997	-0.902410902	4.438329378	-0.902410902	-0.807499255	-0.902410902	-0.902410902	-0.902410902	-0.902410902	-0.902410902	-0.902410902
TRINITY_DN2987_c3_g1	variable	no_annotation	-0.723516217	3.252755758	-0.723516217	3.982406408	-0.723516217	-0.723516217	-0.723516217	-0.723516217	-0.723516217	-0.723516217	-0.723516217	-0.723516217
TRINITY_DN30291_c1_g1	consistent	Metabolism/transport	-1.725000723	-1.422437953	-1.951509252	-1.259082054	-1.744866028	-1.951509252	3.3920407	-1.711500288	3.215487314	-1.650506996	3.682851679	3.126032853
TRINITY_DN30605_c3_g1	consistent	no_annotation	0.869728891	0.864751215	-0.047551315	1.485175461	0.050398567	0.297464366	-0.437368399	-0.507921679	-1.030139266	-0.516555427	-0.504482595	-0.523499821
TRINITY_DN30756_c0_g4	variable	no_annotation	8.336185724	-1.683068614	-1.683068614	-1.683068614	-1.683068614	8.494500418	-1.683068614	-1.683068614	-1.683068614	-1.683068614	-1.683068614	-1.683068614
TRINITY_DN30930_c0_g2	variable	Recognition/cell_adhesion/protein_binding	-0.62910731	-0.62910731	-0.62910731	-0.62910731	-0.62910731	-0.62910731	-0.62910731	-0.62910731	3.238393841	-0.62910731	-0.62910731	3.052679257
TRINITY_DN31042_c0_g1	consistent	Metabolism/transport	-0.533760312	2.841557203	-0.533760312	2.496045916	-0.533760312	-0.533760312	-0.533760312	-0.533760312	-0.533760312	-0.533760312	-0.533760312	-0.533760312
TRINITY_DN31627_c0_g2	consistent	no_annotation	-0.960018928	5.288868978	-2.396713816	4.801819626	5.569382057	-1.720446408	-2.229355888	-2.00274854	-1.883728481	-2.301802169	-0.532379075	-1.632877357
TRINITY_DN3173_c0_g2	variable	Recognition/cell_adhesion/protein_binding	-0.716122733	-0.716122733	-0.716122733	-0.716122733	-0.716122733	-0.716122733	-0.716122733	-0.716122733	3.642695472	-0.716122733	-0.716122733	3.518531862
TRINITY_DN319_c0_g4	variable	no_annotation	-1.121698652	-1.121698652	-1.121698652	-1.121698652	-1.121698652	-1.121698652	-1.121698652	-1.121698652	5.628760467	-1.121698652	-1.121698652	5.588226056
TRINITY_DN33102_c0_g1	consistent	Other	0.037121592	0.43967869	-0.158644327	0.478587217	0.162450402	0.266425141	-0.213839981	-0.199484688	-0.213839981	-0.199484688	-0.199484688	-0.199484688
TRINITY_DN335_c4_g3	variable	no_annotation	-0.58136989	2.963980755	-0.58136989	2.849718144	-0.58136989	-0.58136989	-0.58136989	-0.58136989	-0.58136989	-0.58136989	-0.58136989	-0.58136989
TRINITY_DN33855_c0_g1	variable	no_annotation	-0.847022129	-0.847022129	-0.847022129	-0.847022129	-0.847022129	-0.847022129	-0.847022129	-0.847022129	4.018401849	-0.847022129	-0.847022129	4.451819444
